"Tirada";"Interrupt";"t"
139;1;240
139;2;25272
139;3;44188
139;4;60008
139;5;74276
139;6;86860
139;7;98964
139;8;109712
139;9;121268
139;10;130716
139;11;140680
139;12;149248
140;1;280
140;2;32336
140;3;53936
140;4;71040
140;5;86628
140;6;99876
140;7;112384
140;8;123544
140;9;135996
140;10;146020
140;11;156660
140;12;165636
141;1;164
141;2;26732
141;3;46268
141;4;62396
141;5;77020
141;6;89764
141;7;101984
141;8;112832
141;9;124496
141;10;133988
141;11;144060
141;12;152672
142;1;204
142;2;26256
142;3;45708
142;4;61660
142;5;76236
142;6;88900
142;7;101236
142;8;111944
142;9;123736
142;10;133148
142;11;143292
142;12;151832
144;1;168
144;2;24856
144;3;43704
144;4;59332
144;5;73476
144;6;85972
144;7;98092
144;8;108780
144;9;120192
144;10;129560
144;11;139464
144;12;147964
145;1;156
145;2;24840
145;3;43708
145;4;59348
145;5;73720
145;6;86272
145;7;98484
145;8;109112
145;9;120788
145;10;130196
145;11;140256
145;12;148696
146;1;284
146;2;30752
146;3;51976
146;4;68724
146;5;84200
146;6;97208
146;7;109864
146;8;120792
146;9;132740
146;10;142936
146;11;154216
146;12;163580
147;1;196
147;2;25972
147;3;45384
147;4;61252
147;5;75736
147;6;88324
147;7;100472
147;8;111196
147;9;122752
147;10;132148
147;11;142096
147;12;150572
148;1;156
148;2;26816
148;3;46456
148;4;62580
148;5;77260
148;6;90008
148;7;102296
148;8;113140
148;9;124856
148;10;134304
148;11;144468
148;12;153040
149;1;200
149;2;25544
149;3;44668
149;4;60468
149;5;75116
149;6;87736
149;7;99884
149;8;110612
149;9;122828
149;10;132744
149;11;143296
149;12;152212
150;1;268
150;2;26740
150;3;46880
150;4;62840
150;5;78040
150;6;90624
150;7;102964
150;8;113744
150;9;125980
150;10;135776
150;11;146224
150;12;155020
151;1;240
151;2;29308
151;3;49716
151;4;66324
151;5;81316
151;6;94256
151;7;106852
151;8;117768
151;9;129736
151;10;139316
151;11;149588
151;12;158252
152;1;200
152;2;27540
152;3;47716
152;4;63916
152;5;79012
152;6;91952
152;7;104724
152;8;116376
152;9;128932
152;10;138952
152;11;149520
152;12;158588
153;1;236
153;2;788
153;3;1296
153;4;1888
153;5;2648
153;6;3480
153;7;49596
154;1;284
154;2;26536
154;3;46620
154;4;62476
154;5;77616
154;6;90108
154;7;102556
154;8;113200
154;9;125076
154;10;134420
154;11;144636
154;12;153132
155;1;164
155;2;23648
155;3;41924
155;4;57192
155;5;71208
155;6;83508
155;7;95700
155;8;106176
155;9;117756
155;10;127012
155;11;137024
155;12;145444
156;1;276
156;2;30160
156;3;52024
156;4;69008
156;5;84816
156;6;97960
156;7;110808
156;8;122200
156;9;135028
156;10;145136
156;11;156020
156;12;165000
157;1;244
157;2;31304
157;3;52264
157;4;69192
157;5;84168
157;6;97348
157;7;109816
157;8;120880
157;9;132636
157;10;142336
157;11;152436
157;12;161096
158;1;248
158;2;30536
158;3;51476
158;4;68232
158;5;83256
158;6;96260
158;7;108960
158;8;119912
158;9;131836
158;10;141416
158;11;151676
158;12;160324
159;1;284
159;2;30836
159;3;52012
159;4;68824
159;5;84240
159;6;97308
159;7;109820
159;8;120852
159;9;132760
159;10;142424
159;11;152660
159;12;161368
160;1;164
160;2;28208
160;3;48472
160;4;64824
160;5;79896
160;6;92704
160;7;105172
160;8;116016
160;9;127896
160;10;137404
160;11;147652
160;12;156244
161;1;284
161;2;816
161;3;1344
161;4;1952
161;5;2520
161;6;3056
161;7;6884
161;8;20740
161;9;33124
161;10;45252
161;11;67284
161;12;76620
161;13;95088
162;1;160
162;2;25340
162;3;44256
162;4;60104
162;5;74432
162;6;87084
162;7;99276
162;8;110004
162;9;121704
162;10;131156
162;11;141256
162;12;149856
163;1;192
163;2;25620
163;3;44772
163;4;60636
163;5;75288
163;6;87932
163;7;100212
163;8;110924
163;9;123004
163;10;132724
163;11;143144
163;12;151784
164;1;204
164;2;26540
164;3;46044
164;4;62148
164;5;76768
164;6;89508
164;7;101836
164;8;112652
164;9;124360
164;10;133872
164;11;143944
164;12;152652
165;1;204
165;2;28064
165;3;48356
165;4;64660
165;5;79708
165;6;92496
165;7;105008
165;8;115816
165;9;127684
165;10;137196
165;11;147360
165;12;155984
166;1;196
166;2;28808
166;3;49320
166;4;65744
166;5;80956
166;6;93820
166;7;106284
166;8;117108
166;9;129408
166;10;139376
166;11;150012
166;12;158996
167;1;164
167;2;26172
167;3;45684
167;4;61704
167;5;76496
167;6;89140
167;7;101612
167;8;112336
167;9;124364
167;10;134240
167;11;145064
167;12;153984
168;1;284
168;2;28540
168;3;49216
168;4;65580
168;5;80756
168;6;93508
168;7;106084
168;8;116856
168;9;128824
168;10;138252
168;11;148540
168;12;157088
169;1;276
169;2;30624
169;3;51880
169;4;68748
169;5;84092
169;6;97180
169;7;109740
169;8;120836
169;9;132756
169;10;142512
169;11;152684
169;12;161384
170;1;244
170;2;32224
170;3;53532
170;4;70628
170;5;85880
170;6;99120
170;7;111912
170;8;122980
170;9;135076
170;10;144756
170;11;155112
170;12;163884
171;1;200
171;2;28256
171;3;48436
171;4;64824
171;5;79680
171;6;92552
171;7;104952
171;8;115840
171;9;127620
171;10;137168
171;11;147300
171;12;156012
